"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_zero","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestFactorial","test_main","",""
"","1","test_summarize_with_fixture","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_summarize_with_fixture2[get_summarize_data20]","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_summarize_3","tests","Mon Jun 09 13:42:53 UTC 2025","skipped","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_summarize_1","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_one","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestFactorial","test_main","",""
"","0","test_summarize_2","tests","Mon Jun 09 13:42:53 UTC 2025","skipped","Mon Jun 09 13:42:53 UTC 2025","TestMain","test_main","",""
"","0","test_negative_number","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestFactorial","test_main","",""
"","0","test_create_empty_book","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_pytest","",""
"","0","test_summarize_with_fixture2[get_summarize_data22]","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_find_contact_success","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_pytest","",""
"","0","test_summarize_1","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestMain","test_main","",""
"","0","test_find_contact_success","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_main","",""
"","0","test_find_contact_failed","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_pytest","",""
"","0","test_summarize_with_fixture2[get_summarize_data21]","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_add_contact","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_main","",""
"","1","test_non_integer_number","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestFactorial","test_main","",""
"","0","test_create_empty_book","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_main","",""
"","0","test_summarize_with_params[5-7-12]","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_summarize_4","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestMain","test_main","",""
"","1","test_with_params","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestMain","test_main","",""
"","0","test_summarize_with_params[5--7--2]","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_raises","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestMain","test_main","",""
"","1","test_find_contact_failed","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_main","",""
"","0","test_add_contact","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestPhoneBook","test_pytest","",""
"","0","test_summarize_2","tests","Mon Jun 09 13:42:53 UTC 2025","skipped","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","1","test_summarize_with_params[-5-7-2]","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","","test_pytest","",""
"","0","test_summarize_3","tests","Mon Jun 09 13:42:53 UTC 2025","skipped","Mon Jun 09 13:42:53 UTC 2025","TestMain","test_main","",""
"","0","test_positive","tests","Mon Jun 09 13:42:53 UTC 2025","passed","Mon Jun 09 13:42:53 UTC 2025","TestFactorial","test_main","",""
